Year,3PA,2PA
1985,3.8521739130434787,105.63913043478264
1986,4.478260869565217,109.36086956521739
1987,5.995652173913044,108.36956521739128
1988,6.965217391304347,112.19565217391306
1989,8.267999999999999,106.484
1990,8.296296296296296,103.25185185185184
1991,9.314814814814817,104.12592592592593
1992,9.903703703703703,101.4
1993,11.255555555555555,98.5111111111111
1994,12.755555555555555,99.43333333333332
1995,20.618518518518517,89.09629629629629
1996,22.00344827586207,90.3413793103448
1997,23.727586206896557,89.45517241379311
1998,18.117241379310343,94.33448275862067
1999,16.941379310344825,85.30689655172414
2000,17.96206896551724,90.46551724137929
2001,18.17241379310345,92.47931034482757
2002,19.851724137931033,91.1448275862069
2003,18.87586206896552,87.19310344827585
2004,21.25862068965517,96.01379310344826
2005,22.98666666666666,93.62666666666665
2006,21.93,87.62666666666665
2007,22.86333333333333,85.29666666666667
2008,25.25,88.80666666666669
2009,25.953333333333337,90.27333333333334
2010,25.929999999999993,89.88000000000001
2011,27.36333333333333,91.62333333333335
2012,26.310000000000002,88.56666666666665
2013,28.169999999999998,85.80333333333333
2014,31.279999999999994,87.50333333333333
2015,35.85333333333333,93.63666666666667
2016,34.03333333333334,85.21000000000001
2017,39.269999999999996,83.50333333333333
2018,45.11666666666666,87.81999999999998
2019,52.73666666666667,90.86666666666666
2020,53.15666666666666,83.40666666666668
2021,55.01333333333332,85.8
